leccionId,titulo,descripcion,duracionMin,numero
401,Variables y Tipos,Tipos básicos en programación.,60,4
402,Limpieza de Datos,Preparación de datos.,180,12
403,Introducción al SEO,Conceptos iniciales.,45,1
404,Ecuaciones Lineales,Sistemas y resolución.,210,2
405,Principios de UX,Diseño centrado en el usuario.,60,1
406,Fundamentos de Seguridad,Conceptos básicos de ciberseguridad.,90,2
407,Estadística Descriptiva,Análisis de datos básicos.,120,3
408,Regresión Lineal,Modelos predictivos simples.,150,4
409,Python Básico,Introducción al lenguaje.,100,1
410,Diagramas UML,Modelado de software.,75,2
